,city,population
0,Las Piñas,686336.5862068944
1,Makati,639590.7931034472
2,Muntinlupa,591167.0172413774
3,Parañaque,778498.9482758604
4,Pasay,440990.3965517245
5,Pateros,68950.10344827583
6,Taguig,989407.293103449
